regime_id,entropy_66d,vol_scaled_return_126d,skewness_126d,vol_of_vol,bollinger_pct_b_20d,cmci_20d,stoch_k_14d,rsi_14d,williams_r_14d,momentum_63d,momentum_252d,vstoxx_chg,gold_log_return,bund_rets,mean_return,volatility,label
0,0.6902150260047824,0.031989415564135676,-0.500370677499878,0.0752040737438632,0.5568407154570807,18.20311121756251,59.0205254829354,52.77264126680001,-40.1668666348265,0.03171269625864406,0.04008989621974991,0.0009130633817448168,3.261646080498845e-05,0.00020269457577303126,0.00043885304161892934,0.010121134473257893,Mean-Reverting / Stagnant
1,0.6895620717824946,-1.4892689993600938,-0.30334261485945485,0.07576329072599168,-0.006651955235321768,-168.00540039886786,14.180437157592825,35.9120481437421,-100.0,-0.021454283867054478,0.020269965511469812,0.05835256552643055,0.0011080434095324285,0.00022080312530528356,-0.015457438389194144,0.015251669151599307,High-Vol Bear
2,0.6895674508248235,0.42427427459535666,-0.028240018306369085,0.07659219317717601,0.20575052545529815,-93.64980568163526,15.988883418725061,41.49791356627665,-78.40952223535429,-0.019314561521951434,0.04701836803142097,-0.024461944595869617,0.00014709343902464855,-0.0001142789235061263,0.004125121563579153,0.01038564056415752,High-Vol Bull
3,0.6780899882906497,0.09703677475493863,-0.23654943559799754,0.07285987577644443,0.6409546144233771,45.470389904536766,68.63374129808065,56.58274351864917,-30.96194793776774,0.029001483508780193,0.007741348184553183,-0.009358886520397564,0.0004101922363908567,0.00023554430982033556,0.001377559642858742,0.009614514362102717,Mean-Reverting / Stagnant
4,0.690139365598943,0.34934587437066117,-0.17571616299901568,0.07182555897351248,0.8882109004538208,125.32352047702643,93.9046841355321,64.4600059504489,-3.7803471960227824,0.030094664904717513,0.07342923853629559,-0.003906481334331781,-0.0004681340401662368,5.854375125951166e-05,0.0036016017656404146,0.007482615679545036,Low-Vol Bull
5,0.6915598004070719,0.25495480633539563,-0.9519661863938452,0.12896779645477444,0.5468428765227782,15.409153681588363,60.15897004962049,48.03537642879963,-36.792771677519276,-0.15144058971461713,-0.08619752482701122,-0.017857878678007266,0.00033783960454851036,0.0004561224558089597,0.0035307111250888566,0.017803541854034925,High-Vol Bull
