date,regime_0_prob,regime_1_prob,regime_2_prob,regime_id,regime_label
2019-02-27,0.279900915635513,0.7192768804861109,0.0008222038783755602,1,High-Vol Bull
2019-02-28,0.3704269526526011,0.6289544953691429,0.0006185519782555555,1,High-Vol Bull
2019-03-01,0.5450177059987189,0.453334592045407,0.001647701955873371,0,Mean-Reverting / Stagnant
2019-03-04,0.6875783282786431,0.30584410482720614,0.006577566894151173,0,Mean-Reverting / Stagnant
2019-03-05,0.8987178651827978,0.09809785626772097,0.003184278549481987,0,Mean-Reverting / Stagnant
2019-03-06,0.8517366847100618,0.13659667766023642,0.011666637629701394,0,Mean-Reverting / Stagnant
2019-03-07,0.4144926834491682,0.573437558096262,0.012069758454569354,1,High-Vol Bull
2019-03-08,0.042910923310929716,0.9565430578661968,0.0005460188228733105,1,High-Vol Bull
2019-03-11,0.13644405450037383,0.8630141656194111,0.0005417798802155112,1,High-Vol Bull
2019-03-12,0.08034152633529403,0.9193011582954902,0.00035731536921624685,1,High-Vol Bull
2019-03-13,0.40020919502109303,0.5988363791875978,0.0009544257913094143,1,High-Vol Bull
2019-03-14,0.14007244602555674,0.8593204726180377,0.0006070813564053035,1,High-Vol Bull
2019-03-15,0.9871668597593537,0.00013160337402041175,0.01270153686662559,0,Mean-Reverting / Stagnant
2019-03-18,0.9757760526544409,5.458268260616529e-06,0.024218489077298535,0,Mean-Reverting / Stagnant
2019-03-19,0.9520047025974357,7.913259074241713e-07,0.04799450607665763,0,Mean-Reverting / Stagnant
2019-03-20,0.6971650823865374,0.2981476268128448,0.004687290800617996,0,Mean-Reverting / Stagnant
2019-03-21,0.27159928444197745,0.7253294610851709,0.0030712544728513152,1,High-Vol Bull
2019-03-22,0.030111468346534807,0.9562097082431676,0.013678823410297353,1,High-Vol Bull
2019-03-25,0.01854542566627419,0.9807061528071169,0.000748421526608682,1,High-Vol Bull
2019-03-26,0.01315663436632352,0.9865935785382554,0.00024978709542064953,1,High-Vol Bull
2019-03-27,0.04151569591535573,0.957147999807467,0.001336304277176615,1,High-Vol Bull
2019-03-28,0.035486888460102596,0.963956535977012,0.000556575562884898,1,High-Vol Bull
2019-03-29,0.029536711971345598,0.9702291248821266,0.00023416314652765583,1,High-Vol Bull
2019-04-01,0.7526446429844628,0.10712580548770649,0.14022955152782968,0,Mean-Reverting / Stagnant
2019-04-02,0.9945482184819724,1.983526634995325e-09,0.005451779534500769,0,Mean-Reverting / Stagnant
2019-04-03,0.9931003769909913,1.6326995742774276e-09,0.006899621376309577,0,Mean-Reverting / Stagnant
2019-04-04,0.9999631190606019,1.1898455329168814e-23,3.688093939880918e-05,0,Mean-Reverting / Stagnant
2019-04-05,0.9999995490599578,2.1777922261218141e-47,4.5094004212890733e-07,0,Mean-Reverting / Stagnant
2019-04-08,0.9999999998193783,6.957861093240023e-86,1.8062149737685968e-10,0,Mean-Reverting / Stagnant
2019-04-09,0.9999994789223895,7.74368978892532e-49,5.210776105107635e-07,0,Mean-Reverting / Stagnant
2019-04-10,0.9999993789261153,4.3405178144901915e-49,6.210738844317503e-07,0,Mean-Reverting / Stagnant
2019-04-11,0.9999993954941802,1.1297174986318695e-49,6.04505820026487e-07,0,Mean-Reverting / Stagnant
2019-04-12,0.9999985039688433,3.60569239125708e-49,1.4960311559865016e-06,0,Mean-Reverting / Stagnant
2019-04-15,0.9999995737569878,1.220897420339534e-49,4.2624301194579535e-07,0,Mean-Reverting / Stagnant
2019-04-16,0.999999999796982,1.617922086813688e-87,2.0301839417093995e-10,0,Mean-Reverting / Stagnant
2019-04-17,0.9999999999999947,1.2230624729847744e-142,5.89569992739272e-15,0,Mean-Reverting / Stagnant
2019-04-18,0.9999999999999947,4.976207041680333e-142,4.7687873141467306e-15,0,Mean-Reverting / Stagnant
2019-04-22,1.0,2.2298557782830166e-143,2.476481337689022e-16,0,Mean-Reverting / Stagnant
2019-04-23,1.0,2.1226053095295865e-144,2.750605884538337e-16,0,Mean-Reverting / Stagnant
2019-04-24,1.0,5.253210933367314e-145,8.673114442858456e-16,0,Mean-Reverting / Stagnant
2019-04-25,1.0,1.1912241362522015e-145,8.80957449814e-16,0,Mean-Reverting / Stagnant
2019-04-26,0.9999999999999982,4.770302940081763e-145,1.0937088383016493e-15,0,Mean-Reverting / Stagnant
2019-04-29,1.0,9.467281543744903e-224,3.4382615936431894e-23,0,Mean-Reverting / Stagnant
2019-04-30,1.0,1.2861735918673538e-222,7.015480921645407e-23,0,Mean-Reverting / Stagnant
2019-05-01,1.0,1.0512761537140356e-222,2.4379571118306218e-22,0,Mean-Reverting / Stagnant
2019-05-02,1.0,1.5600851376589347e-223,4.959730482591876e-22,0,Mean-Reverting / Stagnant
2019-05-03,0.999999999999984,1.9274758256927208e-143,1.6069824478401782e-14,0,Mean-Reverting / Stagnant
2019-05-06,0.9999999999999822,2.5387178710869263e-137,1.6535767912776467e-14,0,Mean-Reverting / Stagnant
2019-05-07,0.999999999999531,3.629359541171346e-146,4.685327293125311e-13,0,Mean-Reverting / Stagnant
2019-05-08,0.9999999994466453,2.4095807430927584e-87,5.533549848944984e-10,0,Mean-Reverting / Stagnant
2019-05-09,0.9999999999946994,1.813008702944869e-149,5.300583801541138e-12,0,Mean-Reverting / Stagnant
2019-05-10,0.9999991442376273,1.2549229435076225e-89,8.557623710625946e-07,0,Mean-Reverting / Stagnant
2019-05-13,0.9999999997788898,6.003744179281932e-147,2.2110947654308394e-10,0,Mean-Reverting / Stagnant
2019-05-14,0.9999999999985292,4.118995266995279e-145,1.4697089890154634e-12,0,Mean-Reverting / Stagnant
2019-05-15,1.0,1.081679657851259e-224,2.725915657632978e-20,0,Mean-Reverting / Stagnant
2019-05-16,1.0,2.500961356600573e-223,4.486355350307261e-20,0,Mean-Reverting / Stagnant
2019-05-17,1.0,6.229600379933879e-225,4.057678551527845e-21,0,Mean-Reverting / Stagnant
2019-05-20,0.999999999999579,1.6845774404780521e-146,4.211506671660636e-13,0,Mean-Reverting / Stagnant
2019-05-21,0.999999999999611,1.8086205871761137e-145,3.89375154434133e-13,0,Mean-Reverting / Stagnant
2019-05-22,0.9999999999998828,7.605070356936781e-144,1.1728681118214631e-13,0,Mean-Reverting / Stagnant
2019-05-23,0.9999999999996945,2.3238391131373207e-144,3.0508421401715845e-13,0,Mean-Reverting / Stagnant
2019-05-24,0.999999999999444,1.447406858056015e-144,5.56671806971117e-13,0,Mean-Reverting / Stagnant
2019-05-27,0.9999999999998614,1.5946875293411224e-144,1.3936963981485862e-13,0,Mean-Reverting / Stagnant
2019-05-28,0.9999999999998952,1.501853421391869e-144,1.0531706879632803e-13,0,Mean-Reverting / Stagnant
2019-05-29,0.9999999933002126,3.6142642349749e-89,6.699786678264767e-09,0,Mean-Reverting / Stagnant
2019-05-30,0.999994916098709,8.342609216889723e-51,5.0839012914257995e-06,0,Mean-Reverting / Stagnant
2019-05-31,0.9961989318124707,4.0403366871639325e-27,0.0038010681875294034,0,Mean-Reverting / Stagnant
2019-06-03,0.9988129380167061,6.364271837871084e-26,0.0011870619832934708,0,Mean-Reverting / Stagnant
2019-06-04,0.998874845704278,2.7818646289117036e-25,0.0011251542957221759,0,Mean-Reverting / Stagnant
2019-06-05,0.9988024233049472,2.9758793931636444e-25,0.0011975766950533431,0,Mean-Reverting / Stagnant
2019-06-06,0.99972685585124,4.476913909339394e-27,0.00027314414876009985,0,Mean-Reverting / Stagnant
2019-06-07,0.9934499599326613,7.554990127100242e-12,0.006550040059783464,0,Mean-Reverting / Stagnant
2019-06-10,0.9997056790586294,2.827694193922544e-28,0.0002943209413704834,0,Mean-Reverting / Stagnant
2019-06-11,0.9999038652378566,4.744988750057414e-28,9.613476214382967e-05,0,Mean-Reverting / Stagnant
2019-06-12,0.9999982504857378,3.7118767261213146e-53,1.7495142631417195e-06,0,Mean-Reverting / Stagnant
2019-06-13,0.9999349662041392,3.932785995672656e-28,6.503379586102342e-05,0,Mean-Reverting / Stagnant
2019-06-14,0.9999970956530687,1.5121520255529584e-53,2.904346930659434e-06,0,Mean-Reverting / Stagnant
2019-06-17,0.999928135676068,1.8475855225126726e-28,7.186432393187541e-05,0,Mean-Reverting / Stagnant
2019-06-18,0.4876163269146788,8.805032599810103e-28,0.5123836730853194,2,High-Vol Bear
2019-06-19,0.9997365315463741,3.5259680790586144e-27,0.0002634684536253633,0,Mean-Reverting / Stagnant
2019-06-20,0.9920720855962832,2.2889575712287331e-29,0.007927914403716181,0,Mean-Reverting / Stagnant
2019-06-21,0.9998339732961954,6.4183643776511434e-27,0.00016602670380456085,0,Mean-Reverting / Stagnant
2019-06-24,0.9998869031081797,1.5836804473616324e-26,0.00011309689181992677,0,Mean-Reverting / Stagnant
2019-06-25,0.9998453322841075,3.34673645160166e-26,0.00015466771589237992,0,Mean-Reverting / Stagnant
2019-06-26,0.9998295051593524,2.993508773295409e-26,0.00017049484064756508,0,Mean-Reverting / Stagnant
2019-06-27,0.9999122577777024,6.583521698587231e-26,8.774222229779775e-05,0,Mean-Reverting / Stagnant
2019-06-28,0.9989771177031673,8.695943806712156e-12,0.0010228822881370643,0,Mean-Reverting / Stagnant
2019-07-01,0.9938419797574201,4.708785144635616e-12,0.006158020237871827,0,Mean-Reverting / Stagnant
2019-07-02,0.9997797306485019,2.417043596832216e-26,0.00022026935149871494,0,Mean-Reverting / Stagnant
2019-07-03,0.993584173141606,7.223321931251393e-25,0.0064158268583934044,0,Mean-Reverting / Stagnant
2019-07-04,0.9998872007404065,9.894692354872925e-27,0.00011279925959298959,0,Mean-Reverting / Stagnant
2019-07-05,0.9995133093632591,8.254399617997201e-27,0.00048669063674081363,0,Mean-Reverting / Stagnant
2019-07-08,0.998515261494024,5.838459149751229e-12,0.00148473850013756,0,Mean-Reverting / Stagnant
2019-07-09,0.9952411723891837,0.0006117439345750248,0.004147083676241595,0,Mean-Reverting / Stagnant
2019-07-10,0.45226187550783425,0.5367345992581668,0.01100352523399987,1,High-Vol Bull
2019-07-11,0.37815705494242635,0.6177957859141463,0.004047159143427742,1,High-Vol Bull
2019-07-12,0.46189031862977686,0.5341658763958508,0.00394380497437179,1,High-Vol Bull
