date,entropy_66d,vol_scaled_return_126d,skewness_126d,vol_of_vol,vstoxx_chg,momentum_63d,momentum_252d,bollinger_pct_b_20d,cmci_20d,stoch_k_14d,rsi_14d,williams_r_14d,target_log_return,gold_log_return,bund_rets,y_forward_1d
2010-12-23,0.6890092384766586,-0.15150110794184715,0.25738075220068846,0.054692610281618606,0.06393151150041154,0.027156287294055836,,0.7344590913698871,76.69289607811649,93.82413880936902,57.47279863084847,-11.650908427331517,-0.0017822570811274474,-0.004915470868822602,,-0.013358065155332888
2010-12-27,0.6890092384766586,-1.1363524163354897,0.27422453087830084,0.05533899179434943,0.07032778815044782,0.03127086388203448,-0.05212730159570533,0.5701178872437527,23.966111509223232,71.16197024876296,50.46734592924409,-67.98650568181817,-0.013358065155332888,0.0017376375591764415,,-0.0007821749544776324
2010-12-28,0.6890092384766586,-0.067118133779453,0.3070183523095292,0.055562758256480584,-0.008525179013006756,0.01852889540616065,-0.06368112184177743,0.5351271743947396,12.746218075479135,43.19350959484296,50.08509053537218,-90.7820571063214,-0.0007821749544776324,0.016358469933077657,,0.005976486558378014
2010-12-29,0.685782896004546,0.5128018024099763,0.31160313620019164,0.05440862257514281,-0.013793308523970094,0.025674696780132678,-0.06356652279527175,0.5994741643332541,34.591499670924115,25.490746643935307,53.02074268411063,-64.75919728005447,0.005976486558378014,0.005606248668242664,,-0.012106488847135388
2010-12-30,0.6890092384766586,-1.0393834323185405,0.2899399317553238,0.05418326198701644,0.013793308523970094,0.03340010207274435,-0.05681894621405981,0.2990436914606545,-65.34391019489166,14.819581871208035,47.00798407898188,-100.0,-0.012106488847135388,-0.0053216148079986425,,0.0
2010-12-31,0.6890092384766586,0.0,0.2722916347350147,0.05422171849451025,0.01304240428511605,0.026763617884795643,-0.07241412839757988,0.27530104907155467,-73.20249468624054,11.746934239981835,47.00798407898187,-100.0,0.0,0.01096696191437374,,0.011472742445758577
2011-01-03,0.6890092384766586,1.0152007190902208,0.27922413233139864,0.054114415694314716,-0.007918558753937432,0.03850107460411323,-0.0698892452741342,0.5467249251178576,15.747067622785265,15.434793989843454,52.8791168429774,-53.69561803046961,0.011472742445758577,0.0010549637197136974,,0.0016679539219701667
2011-01-04,0.6913095073117435,0.14765789629999154,0.27958098077953897,0.054037961086836506,-0.013146885617549398,0.02889447804283396,-0.04727579158715045,0.570333293556763,23.820740237344918,33.12834115724016,53.68776540582743,-46.91935849780989,0.0016679539219701667,-0.03149021467398416,,-0.0036738671565412773
2011-01-05,0.6926879734424749,-0.325479477395526,0.2877774267975116,0.053723809928143816,-0.020930921509077383,0.022820329948364027,-0.04611831391796706,0.41678135225507323,-29.238892978924593,45.85170060904315,51.589797133533125,-61.82992164459103,-0.0036738671565412773,-0.0037065165009089185,,0.0008783081417753635
2011-01-06,0.6926879734424749,0.07777526335238354,0.29872854637002005,0.053415829211015085,0.022081034256075327,0.01667474202184316,-0.05357898917219117,0.4364308614543489,-22.994258386508417,44.32682407552832,52.07132329948314,-58.27024763101408,0.0008783081417753635,-0.001457301310387571,,-0.009914185096602246
2011-01-07,0.6926879734424749,-0.8876305207338332,0.31065597644334086,0.05272061079924107,-0.015055306737078666,0.018073463153161384,-0.03601891311286476,0.1026418196951638,-138.67807661589868,27.209861031126923,46.47690845667172,-98.27024763101409,-0.009914185096602246,-0.0021168841718210984,,-0.017012086495335588
2011-01-10,0.6913095073117435,-1.518108431422933,0.3239657480575502,0.05272838089049541,0.023069161580720365,0.006620291667175593,-0.051907940788249896,-0.21808677906836915,-257.3243036342279,14.486501579323935,38.86407800611789,-100.0,-0.017012086495335588,0.003792544305454726,,0.012855001500041041
2011-01-11,0.6890092384766586,1.142990272286793,0.3133574603293296,0.052823337105160365,-0.0377623444577293,-0.005371553908031679,-0.07799003937695659,0.16625341772566885,-115.46638152847007,11.525308979317138,46.041421220271225,-67.15382543103449,0.012855001500041041,0.007470063391425974,,0.02907682737769779
2011-01-12,0.6913095073117435,2.6113275316811997,0.31950513160155536,0.052797612820225215,-0.0392443740430255,-0.015593284040312128,-0.04132819407909594,0.9100626223392195,143.3693130071441,44.28205818965517,58.23773420370587,-0.0,0.02907682737769779,0.0012275346898995565,,0.012601274424972608
2011-01-13,0.6913095073117435,1.1039077692747385,0.35493796445852094,0.05191792754047319,0.009194034876649493,0.015047823103800262,0.005523912626256511,1.09207071513045,212.74614988716942,77.6153915229885,62.29857377233764,-0.0,0.012601274424972608,0.0008656663981083668,,0.0016380294135354134
2011-01-14,0.6926879734424749,0.14293771721288906,0.32765633085070733,0.05193730909738232,-0.058415309889733535,0.025697695331323267,0.027405856796715256,1.0263280889891417,185.54658417051087,100.0,62.80844120268576,-0.0,0.0016380294135354134,-0.019292266186344165,,-0.0033510474252214095
2011-01-17,0.6926879734424749,-0.29254401744135794,0.3341347847641606,0.05238052229489466,0.0,0.02414897608393929,0.03949737503026274,0.9043169467838091,135.99015509104734,97.95845487816946,60.99271973005702,-6.124635365491572,-0.0033510474252214095,0.0,,0.011949848710196775
2011-01-18,0.6926879734424749,1.0670625380456247,0.3094874978825594,0.052082865119181476,0.02617448170043124,0.025506015682084104,0.02889170974615407,1.0172284412595016,167.34698028025892,97.95845487816946,64.9056695502998,-0.0,0.011949848710196775,0.00564410600155707,,-0.007448898529863968
