date,bund,gold,target,vstoxx,target_log_return,gold_log_return,bund_log_return
2010-01-04,,1117.699951171875,3017.800048828125,20.040000915527344,,,
2010-01-05,,1118.0999755859375,3012.360107421875,19.350000381469727,-0.0018042449092607882,0.00035783561269830955,
2010-01-06,,1135.9000244140625,3009.659912109375,19.15999984741211,-0.0008967740009833136,0.015794515412509647,
2010-01-07,,1133.0999755859375,3007.340087890625,19.059999465942383,-0.0007710900228339312,-0.0024680918902548754,
2010-01-08,,1138.199951171875,3017.85009765625,18.1299991607666,0.003488693336384685,0.00449080642933275,
2010-01-11,,1150.699951171875,3010.239990234375,17.549999237060547,-0.002524883123445676,0.010922386126404504,
2010-01-12,,1128.9000244140625,2976.889892578125,18.25,-0.011140711241225176,-0.019126681502084075,
2010-01-13,,1136.4000244140625,2978.409912109375,17.850000381469727,0.0005104762527867734,0.006621663569801761,
2010-01-14,,1142.5999755859375,2989.7099609375,17.6299991607666,0.0037868080976828367,0.005440953459530107,
2010-01-15,,1130.0999755859375,2940.25,17.90999984741211,-0.01668176791755105,-0.011000243160598444,
2010-01-18,,1130.0999755859375,2957.8701171875,17.90999984741211,0.005974842578782891,0.0,
2010-01-19,,1139.699951171875,2984.820068359375,17.579999923706055,0.009070012093371105,0.008458924256074418,
2010-01-20,,1112.300048828125,2914.60009765625,18.68000030517578,-0.02380684379781961,-0.024335039522402013,
2010-01-21,,1102.699951171875,2863.25,22.270000457763672,-0.01777527932765466,-0.008668314012208356,
2010-01-22,,1089.199951171875,2836.800048828125,27.309999465942383,-0.009280669745486136,-0.01231823651385966,
2010-01-25,,1095.199951171875,2807.300048828125,25.40999984741211,-0.010453488820012069,0.0054935134202303,
2010-01-26,,1097.9000244140625,2827.739990234375,24.549999237060547,0.007254617858887258,0.0024623360872553235,
2010-01-27,,1084.4000244140625,2787.39990234375,23.139999389648438,-0.014368575920695292,-0.012372425339341575,
2010-01-28,,1083.5999755859375,2737.330078125,23.729999542236328,-0.018126205370112558,-0.0007380524579723158,
2010-01-29,,1083.0,2776.830078125,24.6200008392334,0.014326996146347248,-0.0005538406794372008,
2010-02-01,,1104.300048828125,2793.2900390625,22.59000015258789,0.0059101091188491495,0.019476726268452538,
2010-02-02,,1117.4000244140625,2830.010009765625,21.479999542236328,0.013060122105080119,0.011792885604595682,
2010-02-03,,1111.4000244140625,2804.610107421875,21.600000381469727,-0.009015718491748537,-0.005384076061273113,
2010-02-04,,1062.4000244140625,2707.449951171875,26.079999923706055,-0.035257315709722015,-0.04508998111049234,
2010-02-05,,1052.199951171875,2631.639892578125,26.110000610351562,-0.028400029293852214,-0.009647358811312401,
2010-02-08,,1065.699951171875,2664.2900390625,26.510000228881836,0.012330435100587067,0.01274865051805918,
2010-02-09,,1076.699951171875,2668.429931640625,26.0,0.0015526385906383666,0.010268948062854832,
2010-02-10,,1075.800048828125,2700.169921875,25.399999618530273,0.011824446193349658,-0.0008361462449988366,
2010-02-11,,1094.199951171875,2680.25,23.959999084472656,-0.007404631303586484,0.01695884177835083,
2010-02-12,,1089.5,2674.4599609375,22.729999542236328,-0.002162597549194345,-0.004304582620552111,
2010-02-15,,1089.5,2683.830078125,22.729999542236328,0.003497431706938059,0.0,
2010-02-16,,1119.300048828125,2720.77001953125,22.25,0.013670027747904712,0.026984658134351136,
2010-02-17,,1119.5,2762.25,21.719999313354492,0.015130629351286728,0.00017862351978337188,
2010-02-18,,1118.0,2778.300048828125,20.6299991607666,0.0057936824258693065,-0.0013407823237647776,
2010-02-19,,1121.300048828125,2793.3701171875,20.020000457763672,0.005409546746374616,0.0029473952977854267,
2010-02-22,,1112.5999755859375,2778.1201171875,19.940000534057617,-0.00547431205760418,-0.007789173314889375,
2010-02-23,,1102.699951171875,2730.570068359375,21.3700008392334,-0.017264078479141354,-0.008937923213824917,
2010-02-24,,1096.5,2734.949951171875,20.270000457763672,0.001602732671152296,-0.005638384626172943,
2010-02-25,,1107.800048828125,2684.419921875,20.100000381469727,-0.018648475692248923,0.010252821817720914,
2010-02-26,,1118.300048828125,2728.469970703125,19.5,0.016276341168454778,0.00943360802129245,
2010-03-01,,1117.800048828125,2772.699951171875,19.260000228881836,0.016080555296726473,-0.000447207179014697,
2010-03-02,,1136.9000244140625,2796.330078125,19.059999465942383,0.008486314005820006,0.016942770091358028,
2010-03-03,,1142.699951171875,2822.590087890625,18.829999923706055,0.009347063200383587,0.005088558812882837,
2010-03-04,,1132.5999755859375,2816.10009765625,18.719999313354492,-0.002301950590180901,-0.008877987298245849,
2010-03-05,,1134.800048828125,2877.43994140625,17.420000076293945,0.021548005893064826,0.0019406138387152438,
2010-03-08,,1123.5999755859375,2879.2900390625,17.790000915527344,0.0006427599440037568,-0.009918672460991651,
2010-03-09,,1122.0,2880.7099609375,17.920000076293945,0.0004930284388064976,-0.0014249874190186418,
2010-03-10,,1107.800048828125,2909.39990234375,18.56999969482422,0.009910062808826225,-0.012736696406977721,
2010-03-11,,1108.0,2895.739990234375,18.059999465942383,-0.004706152676296149,0.00018047763156570085,
2010-03-12,,1101.5,2898.360107421875,17.579999923706055,0.0009044087336889106,-0.0058837010648318255,
2010-03-15,,1105.0999755859375,2870.550048828125,18.0,-0.009641430796776262,0.0032629192601643098,
2010-03-16,,1122.199951171875,2905.929931640625,17.690000534057617,0.012249787188202355,0.015355194303237063,
2010-03-17,,1124.0,2931.31005859375,16.90999984741211,0.00869598883477618,0.0016027506478373255,
2010-03-18,,1127.4000244140625,2913.739990234375,16.6200008392334,-0.0060119660681179354,0.003020366849029621,
