date,brent,coal,carbon,gas,gas_log_return,brent_log_return,carbon_log_return,coal_log_return
2016-04-05,37.869998931884766,141.30795288085938,,,,0.0047644428663558,,-0.054530983895038965
2016-04-06,39.84000015258789,139.56463623046875,,,,0.050712222837497656,,-0.012413735659014158
2016-04-07,39.43000030517578,131.59523010253906,,,,-0.010344480917193977,,-0.05879706329258827
2016-04-08,41.939998626708984,136.27723693847656,,,,0.061713037100370016,,0.03496054488789202
2016-04-11,42.83000183105469,140.95925903320312,,,,0.02099884164937338,,0.03377958789836821
2016-04-12,44.689998626708984,147.9823455810547,,,,0.042510897837126915,,0.048622074435245466
2016-04-13,44.18000030517578,157.89430236816406,,,,-0.011477527316564817,,0.0648328567773202
2016-04-14,43.84000015258789,157.39620971679688,,,,-0.007725558779203112,,-0.0031595816978002844
2016-04-15,43.099998474121094,155.0552215576172,,,,-0.01702368441384472,,-0.014984933529435196
2016-04-18,42.90999984741211,157.44606018066406,,,,-0.004418066259043396,,0.015301602979823414
2016-04-19,44.029998779296875,169.2507781982422,,,,0.025766296595877147,,0.07229858513916732
2016-04-20,45.79999923706055,169.99789428710938,,,,0.03941288241876029,,0.004404540723650818
2016-04-21,44.529998779296875,166.11279296875,,,,-0.028120982541512074,,-0.02311901709433606
2016-04-22,45.11000061035156,161.18174743652344,,,,0.012940873030037991,,-0.030134438973153266
2016-04-25,44.47999954223633,154.40768432617188,,,,-0.014064325299721236,,-0.04293618905551
2016-04-26,45.7400016784668,151.419189453125,,,,0.02793358563957682,,-0.019544325614340607
2016-04-27,47.18000030517578,152.41534423828125,,,,0.030996855157404468,,0.0065572424726854095
2016-04-28,48.13999938964844,155.8521728515625,,,,0.0201433392283894,,0.022298625895050606
2016-04-29,48.130001068115234,162.27748107910156,,,,-0.00020771416893339278,,0.04039976809407708
2016-05-02,48.099998474121094,162.27748107910156,,,,-0.000623560118653721,,0.0
2016-05-03,46.75,149.2275848388672,,,,-0.02846788965396474,,-0.08383516049206374
2016-05-04,44.619998931884766,144.4957275390625,,,,-0.04663209066834728,,-0.03222261574789265
2016-05-05,45.0099983215332,144.89422607421875,,,,0.008702484947516798,,0.0027540609621024004
2016-05-06,45.369998931884766,145.0436248779297,,,,0.007966420119682738,,0.0010305575242606224
2016-05-09,43.630001068115234,132.04345703125,,,,-0.03910605851681925,,-0.09390347005891986
2016-05-10,45.52000045776367,133.38832092285156,,,,0.04240678825766597,,0.0101334920058056
2016-05-11,47.599998474121094,136.3270721435547,,,,0.0446809293066992,,0.021792360377783204
2016-05-12,48.08000183105469,130.5990447998047,,,,0.010033599129357196,,-0.04292503784427382
2016-05-13,47.83000183105469,130.64881896972656,,,,-0.00521323233568971,,0.0003810493973492868
2016-05-16,48.970001220703125,133.08946228027344,,,,0.02355479466703425,,0.01850859854310194
2016-05-17,49.279998779296875,135.97840881347656,,,,0.006310403812706422,,0.02147456358925659
2016-05-18,48.93000030517578,132.44195556640625,,,,-0.007127582916483188,,-0.026351636159990477
2016-05-19,48.810001373291016,127.61050415039062,,,,-0.0024554735035193787,,-0.03716178979779006
2016-05-20,48.720001220703125,128.15838623046875,,,,-0.0018455895773756836,,0.004284202955767036
2016-05-23,48.349998474121094,128.30783081054688,,,,-0.0076234581168472815,,0.001165413509170321
2016-05-24,48.61000061035156,129.2043914794922,,,,0.005363093273177633,,0.006963275634941368
2016-05-25,49.7400016784668,132.8902130126953,,,,0.022980188506612542,,0.028127740716858973
2016-05-26,49.59000015258789,135.43051147460938,,,,-0.00302026854203552,,0.01893535706448901
2016-05-27,49.31999969482422,133.7868194580078,,,,-0.005459531469556023,,-0.012211044772244328
2016-05-31,49.689998626708984,130.5990447998047,,,,0.0074740058685827115,,-0.024115730680909664
2016-06-01,49.709999084472656,128.4074249267578,,,,0.0004024237121553753,,-0.01692368676205369
2016-06-02,50.040000915527344,128.0587615966797,,,,0.006616602205406608,,-0.0027189825653533006
2016-06-03,49.63999938964844,135.13165283203125,,,,-0.008025755853772853,,0.053760275846016725
2016-06-06,50.54999923706055,143.5493621826172,,,,0.018165982332864594,,0.0604294539878909
2016-06-07,51.439998626708984,139.46502685546875,,,,0.017453122858703374,,-0.02886509709990115
2016-06-08,52.5099983215332,145.1432342529297,,,,0.02058754245264449,,0.039907210994051034
2016-06-09,51.95000076293945,137.42286682128906,,,,-0.01072186345378956,,-0.054658286146612056
2016-06-10,50.540000915527344,133.5876007080078,,,,-0.027516612156316178,,-0.028305343408726813
2016-06-13,50.349998474121094,132.39215087890625,,,,-0.0037665312158230435,,-0.008989089370087022
2016-06-14,49.83000183105469,127.66029357910156,,,,-0.01038133981978806,,-0.03639557883306832
2016-06-15,48.970001220703125,135.97840881347656,,,,-0.01740935839754698,,0.06312333488755151
2016-06-16,47.189998626708984,137.92092895507812,,,,-0.037025914004814364,,0.014184427947738776
2016-06-17,49.16999816894531,140.01290893554688,,,,0.04110166754760014,,0.01505408268515307
2016-06-20,50.650001525878906,145.79075622558594,,,,0.029655616636051096,,0.040437792150451735
2016-06-21,50.619998931884766,145.54171752929688,,,,-0.0005925268043114329,,-0.0017096532613694038
2016-06-22,49.880001068115234,148.2811737060547,,,,-0.01472659179078839,,0.018647529792215067
2016-06-23,50.90999984741211,152.3655242919922,,,,0.02043922269150311,,0.027172105382482492
2016-06-24,48.40999984741211,138.91709899902344,,,,-0.05035296411742429,,-0.09240505397630105
2016-06-27,47.15999984741211,135.0320587158203,,,,-0.026160328365977925,,-0.028365122913021956
2016-06-28,48.58000183105469,137.92092895507812,,,,0.029665888831925002,,0.02116832014039005
2016-06-29,50.61000061035156,146.13943481445312,,,,0.04093723602032817,,0.05788065657434682
